Filename,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,Chroma,Spectral_Centroid,Spectral_Bandwidth,ZCR,RMSE,Label
NonSOM001_processed.wav,-413.653076171875,35.679141998291,6.52197360992431,8.14258956909179,-9.42185974121093,-2.69876623153686,-7.87644290924072,-7.46063613891601,-7.14285564422607,-6.38562631607055,-7.46737384796142,-10.8481855392456,-3.89086723327636,0.206876084208488,1499.25748362709,891.83253381622,0.133161272321428,0.0419616214931011,0
NonSOM001_processed_fast.wav,-427.5693359375,42.0232238769531,4.48017311096191,8.195068359375,-13.6064615249633,-3.82466745376586,-8.69610118865966,-7.78747606277465,-7.06923913955688,-6.6742148399353,-8.57194232940673,-12.510365486145,-3.64645361900329,0.220165371894836,1622.11558738128,1051.61926036931,0.149161172808233,0.0285009741783142,0
NonSOM001_processed_noise.wav,-253.135391235351,16.3120288848876,4.28694581985473,0.587635993957519,-4.65991067886352,-1.55238509178161,-3.01355361938476,-3.36035680770874,-3.81011819839477,-3.36662983894348,-4.7109842300415,-6.68158626556396,-2.87088680267334,0.501686036586761,3233.6144405382,2128.13692983415,0.350391943741115,0.0440143309533596,0
NonSOM001_processed_pitchdown.wav,-432.89599609375,46.9822082519531,1.07529747486114,16.5016994476318,-13.2339763641357,-0.832603275775909,-9.27819442749023,-4.89056634902954,-9.38766384124755,-3.5405638217926,-6.84916496276855,-8.06808280944824,-11.3175067901611,0.222947403788566,1427.14272655669,929.62488421909,0.135557910780916,0.0280799027532339,0
NonSOM001_processed_pitchup.wav,-441.151214599609,39.9605560302734,4.03533458709716,4.00824975967407,-15.8109407424926,-3.17789959907531,-12.0100765228271,-6.73448801040649,-9.73664188385009,-7.56973075866699,-13.2603302001953,-6.97930526733398,-6.50689649581909,0.21736803650856,1651.72932356334,1063.04474575307,0.155144686722636,0.0286024212837219,0
NonSOM001_processed_slow.wav,-436.065277099609,39.1774520874023,5.49564504623413,8.49132347106933,-11.9793243408203,-3.50061559677124,-8.61603832244873,-7.90570354461669,-7.20394372940063,-6.79159688949585,-8.30061340332031,-11.9923944473266,-3.91611218452453,0.216354101896286,1603.4356094285,1013.83543099355,0.150892793657565,0.0287047922611236,0
NonSOM002_processed.wav,-460.53286743164,52.8992805480957,17.5646266937255,21.035924911499,4.28425931930542,1.72582590579986,-5.7070255279541,-10.283200263977,-0.159101322293281,-2.07084894180297,-2.28051662445068,1.78620088100433,1.42214620113372,0.227826580405235,1122.33654742859,775.21942464633,0.105724863406183,0.028933223336935,0
NonSOM002_processed_fast.wav,-462.842620849609,58.0170097351074,14.8169374465942,20.8395862579345,1.14069771766662,0.152743503451347,-8.17905807495117,-13.3028964996337,-0.163118928670883,-2.15602731704711,-2.34466958045959,2.35760569572448,2.17846035957336,0.224646642804145,1121.13913997139,860.078206225914,0.103053174328071,0.020099664106965,0
NonSOM002_processed_noise.wav,-260.795776367187,23.4391689300537,10.6610555648803,8.72542381286621,1.70944321155548,0.165740683674812,-3.86903762817382,-5.7166404724121,-1.25213634967803,-1.80027306079864,-1.07450985908508,0.667870163917541,1.44340860843658,0.569151639938354,3203.71649050717,2194.22588591709,0.360272438033049,0.0313417725265026,0
NonSOM002_processed_pitchdown.wav,-485.126495361328,62.734619140625,11.8453102111816,26.0293674468994,3.34078669548034,4.84716749191284,-3.67060112953186,-10.8990173339843,-8.43136882781982,2.16453957557678,-7.04167699813842,1.90017235279083,-1.72619998455047,0.226308360695838,1002.32109167344,770.456911472453,0.094102242692786,0.0198929421603679,0
NonSOM002_processed_pitchup.wav,-477.448974609375,57.5113868713378,15.4600296020507,19.0035133361816,-3.56632804870605,-2.21139597892761,-13.5160064697265,-7.29742050170898,1.98034584522247,-3.4949152469635,1.60058772563934,2.68982625007629,0.814662456512451,0.217282757163047,1198.63017331197,878.957862209204,0.114231784714818,0.0199771039187908,0
NonSOM002_processed_slow.wav,-478.733978271484,56.0685234069824,15.9847431182861,21.3491325378417,2.18504357337951,0.589163661003112,-7.36878681182861,-12.4044857025146,-0.367087453603744,-2.33461952209472,-2.44924211502075,2.30036759376525,1.8931884765625,0.221174091100692,1143.61057271453,834.539951500344,0.107118018522468,0.0200118571519851,0
NonSOM003_processed.wav,-447.205322265625,37.3611526489257,13.2787017822265,8.86738491058349,0.231056690216064,-9.20692920684814,-11.3071699142456,-8.5599946975708,-4.43151521682739,-6.74980449676513,-11.6212511062622,-3.24804663658142,-6.63421297073364,0.184516981244087,1173.21833206064,740.037112776199,0.103444829424307,0.0385524816811084,0
NonSOM003_processed_fast.wav,-451.499847412109,39.94921875,14.3598413467407,8.60111999511718,-1.4599894285202,-11.2222108840942,-14.8812055587768,-11.2390565872192,-3.9822769165039,-7.51262617111206,-13.4242067337036,-3.27751040458679,-7.82216835021972,0.190913334488868,1309.55902545597,888.294507884648,0.116904196885665,0.0267215967178344,0
NonSOM003_processed_noise.wav,-256.89077758789,14.3712377548217,10.3420400619506,3.64187860488891,-0.663931488990783,-4.15463399887085,-7.32127428054809,-6.06270265579223,-2.70360660552978,-4.23248624801635,-6.43968725204467,-3.38257241249084,-4.26820945739746,0.541620671749115,3287.12009508283,2179.07263941587,0.36255038979211,0.0409324392676353,0
